time,lat,lon,altitude_m,true_track_deg,onground,icao24,callsign,origin,destination,first_seen,last_seen,duration_hours
2026-05-24 11:34:55+00:00,51.4644,-0.5032,0,267,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:35:05+00:00,51.4641,-0.5177,0,267,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:35:10+00:00,51.4638,-0.5244,304,265,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:35:15+00:00,51.4628,-0.5316,304,256,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:35:20+00:00,51.461,-0.5378,304,243,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:35:25+00:00,51.4581,-0.5437,304,230,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:35:31+00:00,51.4536,-0.5495,304,212,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:35:36+00:00,51.4492,-0.5527,304,203,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:35:42+00:00,51.4432,-0.5549,304,187,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:35:47+00:00,51.4379,-0.5547,609,177,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:35:52+00:00,51.4329,-0.5529,609,164,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:35:56+00:00,51.429,-0.55,609,154,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:36:02+00:00,51.4235,-0.5433,609,139,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
